Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Latitude,Longitude,user id,product id,Interaction type,Date,Heure,Month
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,37.8223,-85.7682,1.0,4c69b61db1fc16e7013b43fc926e502d,purchase,2023-10-10,08:00:00,2023-10
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,37.8223,-85.7682,28.0,a11d9462309527143094a0f68bce0a58,view,2023-06-11,08:00:00,2023-06
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,37.8223,-85.7682,45.0,dbf306088532d98d12f7da924cb4e87b,like,2023-11-23,08:00:00,2023-11
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,37.8223,-85.7682,119.0,123de3c9efa5f49dbbc098068d94acc2,like,2023-10-19,08:00:00,2023-10
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,37.8223,-85.7682,131.0,8b3ed216e8ea2a65feb8843e16e57217,purchase,2023-10-31,08:00:00,2023-10
166,42,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly,37.8223,-85.7682,166.0,b16353a747c799db484e5bf81167c98c,purchase,2023-05-12,08:00:00,2023-05
244,25,Male,Jewelry,Accessories,100,Kentucky,M,Olive,Winter,2.8,Yes,2-Day Shipping,Yes,Yes,4,Debit Card,Monthly,37.8223,-85.7682,244.0,f31bfb4819c532127aa16ddf8760c57e,like,2023-02-19,10:00:00,2023-02
286,29,Male,Handbag,Accessories,39,Kentucky,XL,Yellow,Summer,4.8,Yes,Express,Yes,Yes,3,Debit Card,Bi-Weekly,37.8223,-85.7682,286.0,ede3d4a0a98b7e0a5a8cea4240498c1d,like,2023-02-04,10:00:00,2023-02
343,64,Male,Coat,Outerwear,36,Kentucky,M,Olive,Spring,2.6,Yes,Next Day Air,Yes,Yes,48,Credit Card,Every 3 Months,37.8223,-85.7682,343.0,3123f9557a14299160bde77c2e1900be,view,2023-05-29,10:00:00,2023-05
351,42,Male,Sweater,Clothing,68,Kentucky,M,Violet,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,47,Bank Transfer,Fortnightly,37.8223,-85.7682,351.0,9bb9ad66025e751bdb6fbc2b88483726,purchase,2023-06-06,10:00:00,2023-06
422,38,Male,Shirt,Clothing,40,Kentucky,M,Violet,Winter,3.5,Yes,Standard,Yes,Yes,48,Cash,Bi-Weekly,37.8223,-85.7682,422.0,dc811120b28251887517cf8ee347f10a,view,2023-08-16,10:00:00,2023-08
516,28,Male,Hat,Accessories,67,Kentucky,L,Charcoal,Spring,4.5,Yes,Next Day Air,Yes,Yes,7,Cash,Monthly,37.8223,-85.7682,516.0,3d33ab2be8c8366c2e156ad715e4cc3d,view,2023-11-16,08:00:00,2023-11
572,54,Male,Jacket,Outerwear,76,Kentucky,XL,Cyan,Spring,3.6,Yes,Free Shipping,Yes,Yes,37,Venmo,Weekly,37.8223,-85.7682,572.0,9386b26d1b9f851e63cfd3b41ffb13f9,like,2023-09-01,10:00:00,2023-09
592,47,Male,Backpack,Accessories,37,Kentucky,L,Olive,Fall,4.2,Yes,Store Pickup,Yes,Yes,6,Debit Card,Bi-Weekly,37.8223,-85.7682,592.0,23cc6fae7c7e8d489417c54c4bc3b288,like,2023-10-14,08:00:00,2023-10
695,41,Male,Dress,Clothing,21,Kentucky,S,Charcoal,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Every 3 Months,37.8223,-85.7682,695.0,b73b6e39b8e00d9ba65b733f452acb13,like,2023-10-15,08:00:00,2023-10
709,37,Male,Backpack,Accessories,50,Kentucky,L,Beige,Summer,3.4,Yes,Store Pickup,Yes,Yes,19,Cash,Fortnightly,37.8223,-85.7682,709.0,d2e608a1de9583b4d3ca1b9650af589e,like,2023-10-29,08:00:00,2023-10
776,49,Male,Handbag,Accessories,53,Kentucky,S,Gold,Winter,3.0,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,37.8223,-85.7682,776.0,fd2e06578a3e59f066c0d5241a44d1a7,like,2023-02-01,10:00:00,2023-02
795,69,Male,Backpack,Accessories,50,Kentucky,XL,Yellow,Winter,4.2,Yes,Store Pickup,Yes,Yes,10,Debit Card,Fortnightly,37.8223,-85.7682,795.0,30abe95e89f6ee4e1004b58b90577a6a,purchase,2023-10-25,08:00:00,2023-10
839,33,Male,Coat,Outerwear,29,Kentucky,M,Gray,Spring,4.3,Yes,Express,Yes,Yes,49,Credit Card,Annually,37.8223,-85.7682,839.0,bec8f09c94841e39022edc4957120a1f,like,2023-08-12,08:00:00,2023-08
