Customer ID,Age,Item Purchased,Purchase Amount (USD),Review Rating,Previous Purchases,Latitude,Longitude,product id,Date,Heure,Month,Product Name,Selling Price,Model Number,Image,Product Url,Is Amazon Seller,Sub Category,Shipping Weight (lbs),Length,Width,Height,Interaction type_purchase,Interaction type_view,Gender_Male,product_category_Clothing,product_category_Footwear,product_category_Outerwear,customer_category_Automotive,customer_category_Baby Products,customer_category_Beauty & Personal Care,"customer_category_Clothing, Shoes & Jewelry",customer_category_Electronics,customer_category_Grocery & Gourmet Food,customer_category_Health & Household,customer_category_Hobbies,customer_category_Home & Kitchen,customer_category_Musical Instruments,customer_category_Office Products,"customer_category_Patio, Lawn & Garden",customer_category_Pet Supplies,customer_category_Remote & App Controlled Vehicle Parts,customer_category_Remote & App Controlled Vehicles & Parts,customer_category_Sports & Outdoors,customer_category_Tools & Home Improvement,customer_category_Toys & Games,customer_category_Unknown,customer_category_Video Games,Location_Alaska,Location_Arizona,Location_Arkansas,Location_California,Location_Colorado,Location_Connecticut,Location_Delaware,Location_Florida,Location_Georgia,Location_Hawaii,Location_Idaho,Location_Illinois,Location_Indiana,Location_Iowa,Location_Kansas,Location_Kentucky,Location_Louisiana,Location_Maine,Location_Maryland,Location_Massachusetts,Location_Michigan,Location_Minnesota,Location_Mississippi,Location_Missouri,Location_Montana,Location_Nebraska,Location_Nevada,Location_New Hampshire,Location_New Jersey,Location_New Mexico,Location_New York,Location_North Carolina,Location_North Dakota,Location_Ohio,Location_Oklahoma,Location_Oregon,Location_Pennsylvania,Location_Rhode Island,Location_South Carolina,Location_South Dakota,Location_Tennessee,Location_Texas,Location_Utah,Location_Vermont,Location_Virginia,Location_Washington,Location_West Virginia,Location_Wisconsin,Location_Wyoming,Size_M,Size_S,Size_XL,Color_Black,Color_Blue,Color_Brown,Color_Charcoal,Color_Cyan,Color_Gold,Color_Gray,Color_Green,Color_Indigo,Color_Lavender,Color_Magenta,Color_Maroon,Color_Olive,Color_Orange,Color_Peach,Color_Pink,Color_Purple,Color_Red,Color_Silver,Color_Teal,Color_Turquoise,Color_Violet,Color_White,Color_Yellow,Season_Spring,Season_Summer,Season_Winter,Subscription Status_Yes,Shipping Type_Express,Shipping Type_Free Shipping,Shipping Type_Next Day Air,Shipping Type_Standard,Shipping Type_Store Pickup,Discount Applied_Yes,Promo Code Used_Yes,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Debit Card,Payment Method_PayPal,Payment Method_Venmo,Frequency of Purchases_Bi-Weekly,Frequency of Purchases_Every 3 Months,Frequency of Purchases_Fortnightly,Frequency of Purchases_Monthly,Frequency of Purchases_Quarterly,Frequency of Purchases_Weekly
28,56,Shorts,56,5.0,7,37.8223,-85.7682,a11d9462309527143094a0f68bce0a58,2023-06-11,08:00:00,2023-06,Industro Stainless Steel Hose Clamps,34.27,193,https://images-na.ssl-images-amazon.com/images/I/41y%2BKv5LLzL.jpg|https://images-na.ssl-images-amazon.com/images/I/319j8eJEtNL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Industro-Stainless-Steel-Hose-Clamps/dp/B07M9BPMTK,Y,Kids' Room Décor,1.37,2.0,0.6,2.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
45,39,Hat,53,4.6,45,37.8223,-85.7682,dbf306088532d98d12f7da924cb4e87b,2023-11-23,08:00:00,2023-11,"Disney's Alice in Wonderland, ""The Hatter's Mad"" Woven Tapestry Throw Blanket, 48"" x 60"", Multi Color",35.0,1AWL/05100/0005/RET,https://images-na.ssl-images-amazon.com/images/I/61cQuMg%2BzRL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Disneys-Wonderland-Hatters-Tapestry-Blanket/dp/B07DR4ZNLF,Y,Throws,1.64,60.0,48.0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
131,44,Scarf,39,3.7,13,37.8223,-85.7682,8b3ed216e8ea2a65feb8843e16e57217,2023-10-31,08:00:00,2023-10,"Craft-tastic – Kindness Kit – Craft Kit Includes 8 Projects to Inspire Kindness, Bilingual",19.99,CT1680-2T,https://images-na.ssl-images-amazon.com/images/I/51csZYQnCuL.jpg|https://images-na.ssl-images-amazon.com/images/I/61H87C6taTL.jpg|https://images-na.ssl-images-amazon.com/images/I/41WYogfaaUL.jpg|https://images-na.ssl-images-amazon.com/images/I/51aKN%2B-jXzL.jpg|https://images-na.ssl-images-amazon.com/images/I/5170ZzUXh7L.jpg|https://images-na.ssl-images-amazon.com/images/I/517x%2BytLzUL.jpg|https://images-na.ssl-images-amazon.com/images/I/51I%2BFdj9eeL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Craft-tastic-Kindness-Craft-Projects-Inspire/dp/B076JQNHC6,Y,Craft Kits,9.0,2.0,10.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
166,42,Handbag,60,2.8,7,37.8223,-85.7682,b16353a747c799db484e5bf81167c98c,2023-05-12,08:00:00,2023-05,DC Collectibles DC Artists Alley: Wonder Woman by Chris Uminga Limited Edition Vinyl PVC Figure,19.95,MAY179007,https://images-na.ssl-images-amazon.com/images/I/41S8CqpGW8L.jpg|https://images-na.ssl-images-amazon.com/images/I/41xitkgQJyL.jpg|https://images-na.ssl-images-amazon.com/images/I/514mDl8ke1L.jpg|https://images-na.ssl-images-amazon.com/images/I/51BBja8UscL.jpg|https://images-na.ssl-images-amazon.com/images/I/31EeMDSK5yL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/DC-Collectibles-Artists-Alley-Limited/dp/B0741DDHDK,Y,Statues,14.7,3.0,3.0,6.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
244,25,Jewelry,100,2.8,4,37.8223,-85.7682,f31bfb4819c532127aa16ddf8760c57e,2023-02-19,10:00:00,2023-02,"Galison Joy to The World 1000 Piece Jigsaw Puzzle for Adults, Holiday Puzzle for Families with Festive Theme",16.99,Unknown,https://images-na.ssl-images-amazon.com/images/I/61WVLZ1eo6L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/World-Square-Boxed-Piece-Puzzle/dp/0735356874,Y,Jigsaw Puzzles,1.42,8.0,2.5,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
286,29,Handbag,39,4.8,3,37.8223,-85.7682,ede3d4a0a98b7e0a5a8cea4240498c1d,2023-02-04,10:00:00,2023-02,DIAMOND SELECT TOYS Batman The Animated Series: Ra's Al Ghul Resin Bust Figure,56.95,FEB182293,https://images-na.ssl-images-amazon.com/images/I/41sqgXcQHTL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/DIAMOND-SELECT-TOYS-Batman-Animated/dp/B079QDHZNM,Y,Statues,1.85,4.0,4.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
343,64,Coat,36,2.6,48,37.8223,-85.7682,3123f9557a14299160bde77c2e1900be,2023-05-29,10:00:00,2023-05,"All About Details CATHE60 Hello 60 Cake, 1pc, 60th Birthday, Party Decor, Glitter Topper (Gold & Black), 6 x 9,",28.13,CATHE60,https://images-na.ssl-images-amazon.com/images/I/41OvEQt52EL.jpg|https://images-na.ssl-images-amazon.com/images/I/41%2Byaejx8RL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Uc4CALeHL.jpg|https://images-na.ssl-images-amazon.com/images/I/51Xe0lnB0LL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/All-About-Details-Birthday-Glitter/dp/B07DP9JRDH,Y,Cake Toppers,3.2,10.8,7.4,0.7,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
422,38,Shirt,40,3.5,48,37.8223,-85.7682,dc811120b28251887517cf8ee347f10a,2023-08-16,10:00:00,2023-08,"Creativity Street Round Beginner Paint Brushes, 10 Pack (AC5137)",3.04,5137,https://images-na.ssl-images-amazon.com/images/I/41HhFmeOhBL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Creativity-Street-Beginner-Brushes-AC5137/dp/B009WO0I6Q,Y,Paintbrush Sets,1.6,10.0,4.0,0.4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
516,28,Hat,67,4.5,7,37.8223,-85.7682,3d33ab2be8c8366c2e156ad715e4cc3d,2023-11-16,08:00:00,2023-11,"Burton & Burton 260Q Neon Green Pencil Balloons, Pack Of 100",10.53,76411,60 x 2 x 2 inches  0.32 ounces,Unknown,Unknown,Balloons,0.0,60.0,2.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
572,54,Jacket,76,3.6,37,37.8223,-85.7682,9386b26d1b9f851e63cfd3b41ffb13f9,2023-09-01,10:00:00,2023-09,Disney/Pixar Cars Lightning McQueen with Sign Vehicle,8.18,DKG34,https://images-na.ssl-images-amazon.com/images/I/51UAwP3BKxL.jpg|https://images-na.ssl-images-amazon.com/images/I/51kqckGH7WL.jpg|https://images-na.ssl-images-amazon.com/images/I/61lzNFGyXEL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Disney-Cars-Lightning-McQueen-Vehicle/dp/B016IHDPAA,Y,Die-Cast Vehicles,1.6,1.6,5.5,6.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
