Customer ID,Age,Gender,Item Purchased,product_category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,product id,Interaction type,Date,Heure,Month,Product Name,customer_category,Selling Price,Model Number,Image,Product Url,Is Amazon Seller,Sub Category,Shipping Weight (lbs),Length,Width,Height
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,66d49bbed043f5be260fa9f7fbff5957,view,2023-11-10,08:00:00,2023-11,"Electronic Snap Circuits Mini Kits Classpack, FM Radio, Motion Detector, Music Box (Set of 5)",Toys & Games,99.95,55324,14.7 x 11.1 x 10.2 inches  4.06 pounds,Unknown,Unknown,Science Kits & Toys,13.0,14.7,11.1,10.2
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,2c55cae269aebf53838484b0d7dd931a,like,2023-12-10,08:00:00,2023-12,"3Doodler Create Flexy 3D Printing Filament Refill Bundle (X5 Pack, Over 1000'. of Extruded Plastics! - Innovate",Toys & Games,34.99,Unknown,https://images-na.ssl-images-amazon.com/images/I/513cBC8PqpL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/3Doodler-Plastic-Innovate-Filament-Refills/dp/B07D36747F,Y,Craft Kits,12.8,10.3,3.4,0.8
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,18018b6bc416dab347b1b7db79994afa,view,2023-10-13,08:00:00,2023-10,Guillow Airplane Design Studio with Travel Case Building Kit,Toys & Games,28.91,142,https://images-na.ssl-images-amazon.com/images/I/516UijZMilL.jpg|https://images-na.ssl-images-amazon.com/images/I/51J6y3oM6VL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Guillow-Airplane-Design-Studio-Building/dp/B076Y2SNHM,Y,Airplane & Jet Kits,13.4,3.5,6.2,13.0
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,e04b990e95bf73bbe6a3fa09785d7cd0,like,2023-10-14,08:00:00,2023-10,Woodstock- Collage 500 pc Puzzle,Toys & Games,17.49,62151,Unknown,Unknown,Unknown,Jigsaw Puzzles,46.4,1.9,8.0,10.0
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,f8c32a45e507a177992973cf0d46d20c,like,2023-10-15,08:00:00,2023-10,"Terra by Battat – 4 Dinosaur Toys, Medium – Dinosaurs for Kids & Collectors, Scientifically Accurate & Designed by A Paleo-Artist; Age 3+ (4 Pc)",Unknown,18.66,AN4054Z,https://images-na.ssl-images-amazon.com/images/I/41EdPcg0uzL.jpg|https://images-na.ssl-images-amazon.com/images/I/410KcPi9ieL.jpg|https://images-na.ssl-images-amazon.com/images/I/41wU2y7soKL.jpg|https://images-na.ssl-images-amazon.com/images/I/51NIuTiNR1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41lqmJ8s-EL.jpg|https://images-na.ssl-images-amazon.com/images/I/41mJemzRLAL.jpg|https://images-na.ssl-images-amazon.com/images/I/61kyhPnISgL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Terra-Battat-Dinosaurs-Collectable-Stegosaurus/dp/B07PF1R8LS,Y,Unknown,1.4,8.7,3.9,3.4
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,40d3cd16b41970ae6872e914aecf2c8e,purchase,2023-10-16,08:00:00,2023-10,"Rubie's Child's Pokemon Deluxe Pikachu Costume, X-Small","Clothing, Shoes & Jewelry",29.12,B07BZJM592,https://images-na.ssl-images-amazon.com/images/I/311yBLR6GiL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Rubies-Deluxe-Pikachu-Pokemon-Costume/dp/B07BZJM592,Y,Costumes,9.8,16.0,8.0,1.0
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,cc2083338a16c3fe2f7895289d2e98fe,like,2023-10-18,08:00:00,2023-10,"ARTSCAPE Etched Glass 24"" x 36"" Window Film, 24-by-36-Inch",Home & Kitchen,12.99,01-0121,https://images-na.ssl-images-amazon.com/images/I/51iAe3LF7FL.jpg|https://images-na.ssl-images-amazon.com/images/I/417B20oEehL.jpg|https://images-na.ssl-images-amazon.com/images/I/41J3bDg633L.jpg|https://images-na.ssl-images-amazon.com/images/I/51hhnuGWwdL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/ARTSCAPE-Etched-Glass-Window-Film/dp/B000Q3PRYA,Y,Window Films,12.2,72.0,36.0,0.0
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,69828c5570dcdbd1609216d33fbad0db,purchase,2023-10-19,08:00:00,2023-10,Pokemon TCG: Sun and Moon Crimson Invasion Elite Trainer Box,Unknown,38.49,820650802607-1,https://images-na.ssl-images-amazon.com/images/I/51LFAQfMX6L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Pokemon-TCG-Crimson-Invasion-Trainer/dp/B074NCGNX2,Y,Unknown,1.5,7.5,3.5,6.8
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,7b0746d8afc8462ba17f8a763d9d5f1e,purchase,2023-10-20,08:00:00,2023-10,"Moonlite, 3-Story Bundle for Boys, Includes 3 Story Reels for Use with Storybook Projector",Toys & Games,18.16,6054517,https://images-na.ssl-images-amazon.com/images/I/51rUvw7zrtL.jpg|https://images-na.ssl-images-amazon.com/images/I/51MYg4EV2pL.jpg|https://images-na.ssl-images-amazon.com/images/I/51tNGkk%2BQSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EkeBHHZuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51FGAr81NXL.jpg|https://images-na.ssl-images-amazon.com/images/I/511xp-dN1nL.jpg|https://images-na.ssl-images-amazon.com/images/I/B1HrN5Ag7JS.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/Moonlite-3-Story-Bundle-Storybook-Projector/dp/B07NPJNZ9T,Y,Baby & Toddler Toys,3.2,0.8,5.0,8.2
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,c5f4c94653a3befd8dd16adf2914c04e,view,2023-10-21,08:00:00,2023-10,DC Cover Girls: Black Canary by Joëlle Jones Statue,Toys & Games,84.61,JAN190710,https://images-na.ssl-images-amazon.com/images/I/415AfhrfM7L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,https://www.amazon.com/DC-Cover-Girls-Canary-Jo%C3%ABlle/dp/B07M7XYMRW,Y,Statues,2.1,4.0,3.0,9.4
